@relation spiel-weka.filters.unsupervised.attribute.Remove-R2_predicted

@attribute Verein numeric
@attribute Spieltag numeric
@attribute letzte3Tore numeric
@attribute letzte3GTore numeric
@attribute niederlagen5 numeric
@attribute siege5 numeric
@attribute draws5 numeric
@attribute predictedreal_outcome {Sieg,Unentschieden,Niederlage}
@attribute real_outcome {Sieg,Unentschieden,Niederlage}

@data
40,11,8,4,1,2,2,Sieg,Niederlage
7,19,2,4,1,2,2,Sieg,Niederlage
34,31,4,2,0,1,4,Sieg,Niederlage
15,27,4,3,2,1,2,Unentschieden,Niederlage
44,12,3,4,3,2,0,Unentschieden,Niederlage
55,4,4,7,2,1,0,Unentschieden,Niederlage
3,17,4,1,1,4,0,Sieg,Niederlage
50,14,8,0,2,2,1,Sieg,Niederlage
2,12,10,2,1,4,0,Sieg,Niederlage
15,5,7,5,3,1,0,Unentschieden,Sieg
24,11,4,4,2,2,1,Unentschieden,Sieg
20,24,5,4,1,2,2,Sieg,Sieg
22,15,5,2,1,2,2,Sieg,Sieg
30,34,3,1,1,1,3,Sieg,Sieg
49,25,2,7,4,1,0,Unentschieden,Sieg
30,21,2,3,2,1,2,Unentschieden,Sieg
8,9,5,3,2,1,2,Sieg,Sieg
37,25,7,1,0,2,3,Sieg,Sieg
3,33,8,4,1,2,2,Sieg,Sieg
38,12,7,6,2,2,1,Unentschieden,Sieg
27,26,2,2,3,1,1,Unentschieden,Sieg
17,11,1,4,2,0,3,Unentschieden,Sieg
54,33,3,4,1,2,2,Unentschieden,Sieg
29,17,1,5,4,1,0,Unentschieden,Sieg
