@relation spiel

@attribute Verein numeric
@attribute Name string
@attribute Spieltag numeric
@attribute letzte3Tore numeric
@attribute letzte3GTore numeric
@attribute niederlagen5 numeric
@attribute siege5 numeric
@attribute draws5 numeric
@attribute real_outcome {Sieg, Unentschieden, Niederlage}

@data
14,'1. FC Nürnberg',26,1,7,3,2,0,Unentschieden
14,'1. FC Nürnberg',25,2,6,3,2,0,Niederlage
14,'1. FC Nürnberg',24,3,4,2,3,0,Unentschieden
14,'1. FC Nürnberg',23,3,3,1,4,0,Niederlage
14,'1. FC Nürnberg',22,4,3,1,3,1,Sieg
14,'1. FC Nürnberg',21,7,3,1,2,2,Sieg
14,'1. FC Nürnberg',20,7,1,0,2,3,Unentschieden
14,'1. FC Nürnberg',19,7,3,1,1,3,Sieg
14,'1. FC Nürnberg',18,4,4,1,0,4,Sieg
14,'1. FC Nürnberg',17,4,7,2,0,3,Unentschieden
14,'1. FC Nürnberg',16,2,5,3,0,2,Unentschieden
14,'1. FC Nürnberg',15,2,7,3,0,2,Unentschieden
14,'1. FC Nürnberg',14,2,7,2,0,3,Niederlage
14,'1. FC Nürnberg',13,2,7,3,0,2,Unentschieden
14,'1. FC Nürnberg',12,2,5,2,0,3,Niederlage
14,'1. FC Nürnberg',11,2,7,1,0,4,Unentschieden
14,'1. FC Nürnberg',10,4,9,1,0,4,Unentschieden
14,'1. FC Nürnberg',9,4,9,2,0,3,Unentschieden
